SHEET	4 курс Леч сайт весна 2026
CELL	AW12	12	49	"пн"
CELL	AX12	12	50	"вт"
CELL	AY12	12	51	"ср"
CELL	AZ12	12	52	"чт"
CELL	BA12	12	53	"пт"
CELL	BB12	12	54	"сб"
CELL	BC12	12	55	"пн"
CELL	BD12	12	56	"вт"
CELL	BE12	12	57	"ср"
CELL	BF12	12	58	"чт"
CELL	BG12	12	59	"пт"
CELL	BH12	12	60	"сб"
CELL	BI12	12	61	"пн"
CELL	BJ12	12	62	"вт"
CELL	BK12	12	63	"ср"
CELL	BL12	12	64	"чт"
CELL	BM12	12	65	"пт"
CELL	BN12	12	66	"сб"
CELL	BO12	12	67	"пн"
CELL	BP12	12	68	"вт"
CELL	BQ12	12	69	"ср"
CELL	BR12	12	70	"чт"
CELL	BS12	12	71	"пт"
CELL	BT12	12	72	"сб"
CELL	BU12	12	73	"пн"
CELL	BV12	12	74	"вт"
CELL	BW12	12	75	"ср"
CELL	BX12	12	76	"чт"
CELL	BY12	12	77	"сб"
CELL	BZ12	12	78	"пн"
CELL	CA12	12	79	"вт"
CELL	CB12	12	80	"ср"
CELL	CC12	12	81	"чт"
CELL	CD12	12	82	"пт"
CELL	CE12	12	83	"пн"
CELL	CF12	12	84	"вт"
CELL	CG12	12	85	"ср"
CELL	CH12	12	86	"чт"
CELL	CI12	12	87	"пт"
CELL	CJ12	12	88	"сб"
CELL	CK12	12	89	"пн"
CELL	CL12	12	90	"вт"
CELL	CM12	12	91	"ср"
CELL	CN12	12	92	"чт"
CELL	CO12	12	93	"пт"
CELL	CP12	12	94	"сб"
CELL	CQ12	12	95	"пн"
CELL	CR12	12	96	"вт"
CELL	CS12	12	97	"ср"
CELL	CT12	12	98	"чт"
CELL	CU12	12	99	"пт"
CELL	CV12	12	100	"сб"
CELL	CW12	12	101	"пн"
CELL	CX12	12	102	"вт"
CELL	CY12	12	103	"ср"
CELL	CZ12	12	104	"чт"
CELL	DA12	12	105	"пт"
CELL	DB12	12	106	"сб"
CELL	A13	13	1	"группы"
CELL	B13	13	2	401
CELL	C13	13	3	"Факультетская терапия,\r\nпрофессиональные  болезни"
CELL	S13	13	19	"Менеджмент в \r\nздравоохранении"
CELL	AA13	13	27	"Педиатрия"
CELL	AI13	13	35	"Урология"
CELL	AN13	13	40	"Факультет.\r\nхирургия"
CELL	AR13	13	44	"Офтальмология"
CELL	AW13	13	49	"Оториноларингология"
CELL	BJ13	13	62	"Акушерство и гинекология"
CELL	BV13	13	74	"М"
CELL	BW13	13	75	"**"
CELL	BZ13	13	78	"Неврология, нейрохирургия "
CELL	CJ13	13	88	"Психиатрия, МП"
CELL	CQ13	13	95	"Экзамены"
CELL	B14	14	2	402
CELL	C14	14	3	"Факультетская терапия,\r\nпрофессиональные  болезни"
CELL	S14	14	19	"Менеджмент в \r\nздравоохранении"
CELL	AA14	14	27	"Педиатрия"
CELL	AI14	14	35	"Урология"
CELL	AN14	14	40	"Факультет.\r\nхирургия"
CELL	AR14	14	44	"Офтальмология"
CELL	AW14	14	49	"Оториноларингология"
CELL	BJ14	14	62	"Акушерство и гинекология"
CELL	BV14	14	74	"М"
CELL	BZ14	14	78	"Неврология, нейрохирургия "
CELL	CJ14	14	88	"Психиатрия, МП"
CELL	B15	15	2	403
CELL	C15	15	3	"Факультетская терапия,\r\nпрофессиональные  болезни"
CELL	S15	15	19	"Педиатрия"
CELL	AA15	15	27	"Менеджмент в \r\nздравоохранении"
CELL	AI15	15	35	"Офтальмология"
CELL	AN15	15	40	"Урология"
CELL	AS15	15	45	"Факультет.\r\nхирургия"
CELL	AW15	15	49	"Акушерство и гинекология"
CELL	BI15	15	61	"М"
CELL	BJ15	15	62	"Оториноларингология"
CELL	BZ15	15	78	"Психиатрия, МП"
CELL	CF15	15	84	"Неврология, нейрохирургия "
CELL	B16	16	2	404
CELL	C16	16	3	"Факультетская терапия,\r\nпрофессиональные  болезни"
CELL	S16	16	19	"Педиатрия"
CELL	AA16	16	27	"Менеджмент в *\r\nздравоохранении"
CELL	AI16	16	35	"Офтальмология"
CELL	AN16	16	40	"Урология"
CELL	AS16	16	45	"Факультет.\r\nхирургия"
CELL	AW16	16	49	"Акушерство и гинекология"
CELL	BI16	16	61	"М"
CELL	BJ16	16	62	"Оториноларингология"
CELL	BZ16	16	78	"Психиатрия, МП"
CELL	CF16	16	84	"Неврология, нейрохирургия *"
CELL	B17	17	2	405
CELL	C17	17	3	"Неврология, нейрохирургия "
CELL	M17	17	13	"Психиатрия, МП"
CELL	S17	17	19	"Факультетская терапия,\r\nпрофессиональные  болезни"
CELL	AI17	17	35	"Менеджмент в \r\nздравоохранении"
CELL	AQ17	17	43	"Педиатрия"
CELL	AY17	17	51	"Урология"
CELL	BD17	17	56	"Факультет.\r\nхирургия"
CELL	BH17	17	60	"Офтальмология"
CELL	BM17	17	65	"Оториноларингология"
CELL	CA17	17	79	"Акушерство и гинекология"
CELL	CM17	17	91	"М"
CELL	B18	18	2	406
CELL	C18	18	3	"Неврология, нейрохирургия *"
CELL	M18	18	13	"Психиатрия, МП"
CELL	S18	18	19	"Факультетская терапия,\r\nпрофессиональные  болезни"
CELL	AI18	18	35	"Менеджмент в \r\nздравоохранении"
CELL	AQ18	18	43	"Педиатрия"
CELL	AY18	18	51	"Урология"
CELL	BD18	18	56	"Факультет.\r\nхирургия"
CELL	BH18	18	60	"Офтальмология"
CELL	BM18	18	65	"Оториноларингология"
CELL	CA18	18	79	"Акушерство и гинекология"
CELL	CM18	18	91	"М"
CELL	B19	19	2	407
CELL	C19	19	3	"Психиатрия, МП"
CELL	I19	19	9	"Неврология, нейрохирургия "
CELL	S19	19	19	"Факультетская терапия,\r\nпрофессиональные  болезни"
CELL	AI19	19	35	"Педиатрия"
CELL	AQ19	19	43	"Менеджмент в \r\nздравоохранении"
CELL	AY19	19	51	"Офтальмология"
CELL	BD19	19	56	"Урология"
CELL	BI19	19	61	"Факультет.\r\nхирургия"
CELL	BM19	19	65	"Акушерство и гинекология"
CELL	BZ19	19	78	"М"
CELL	CA19	19	79	"Оториноларингология"
CELL	B20	20	2	408
CELL	C20	20	3	"Психиатрия, МП"
CELL	I20	20	9	"Неврология, нейрохирургия "
CELL	S20	20	19	"Факультетская терапия,\r\nпрофессиональные  болезни"
