group	row	startCol	endCol	startRef	sourceRange	rawTitle
409	21	78	82	BZ21	BZ21:CD21	"Урология"
409	21	83	86	CE21	CE21:CH21	"Факультет.\r\nхирургия"
409	21	87	91	CI21	CI21:CM21	"Офтальмология"
410	22	3	15	C22	C22:O22	"Оториноларингология"
410	22	16	27	P22	P22:AA22	"Акушерство и гинекология"
410	22	28	37	AB22	AB22:AK22	"Неврология, нейрохирургия *"
410	22	38	43	AL22	AL22:AQ22	"Психиатрия, МП"
410	22	44	59	AR22	AR22:BG22	"Факультетская терапия,\r\nпрофессиональные  болезни"
410	22	60	67	BH22	BH22:BO22	"Менеджмент в \r\nздравоохранении"
410	22	68	75	BP22	BP22:BW22	"Педиатрия"
410	22	76	76	BX22	BX22	"М"
410	22	78	82	BZ22	BZ22:CD22	"Урология"
410	22	83	86	CE22	CE22:CH22	"Факультет.\r\nхирургия"
410	22	87	91	CI22	CI22:CM22	"Офтальмология"
411	23	3	14	C23	C23:N23	"Акушерство и гинекология"
411	23	15	27	O23	O23:AA23	"Оториноларингология"
411	23	28	33	AB23	AB23:AG23	"Психиатрия, МП"
411	23	34	43	AH23	AH23:AQ23	"Неврология, нейрохирургия "
411	23	44	59	AR23	AR23:BG23	"Факультетская терапия,\r\nпрофессиональные  болезни"
411	23	60	67	BH23	BH23:BO23	"Педиатрия"
411	23	68	75	BP23	BP23:BW23	"Менеджмент в \r\nздравоохранении"
411	23	78	82	BZ23	BZ23:CD23	"Офтальмология"
411	23	83	87	CE23	CE23:CI23	"Урология"
411	23	88	91	CJ23	CJ23:CM23	"Факультет.\r\nхирургия"
411	23	92	92	CN23	CN23	"М"
412	24	3	14	C24	C24:N24	"Акушерство и гинекология"
412	24	15	27	O24	O24:AA24	"Оториноларингология"
412	24	28	33	AB24	AB24:AG24	"Психиатрия, МП"
412	24	34	43	AH24	AH24:AQ24	"Неврология, нейрохирургия "
412	24	44	59	AR24	AR24:BG24	"Факультетская терапия,\r\nпрофессиональные  болезни"
412	24	60	67	BH24	BH24:BO24	"Педиатрия"
